alert_id,fired_at,session_date,ticker,signal_type,price,pct_b,rsi,vol_ratio,adx,dist_52w_high,tier,checked_at
1256,2026-09-01T13:33:50.545321+00:00,2026-09-01,ABBV,BREAKOUT,262.26,72.4,58.1,0.02,24.41820347959125,-3.590625916132597,PREFER-HIGH,2026-09-01T13:35:02.669417+00:00
1257,2026-09-01T13:36:26.052947+00:00,2026-09-01,JNJ,BREAKOUT,270.96,74.7,58.6,0.14,21.710598986654976,-2.7650771578704507,PREFER-HIGH,2026-09-01T13:41:54.430039+00:00
1258,2026-09-01T13:45:23.930137+00:00,2026-09-01,VLO,BREAKOUT,362.3,83.1,72.1,0.21,31.090660179805486,0.0,PREFER-MID,2026-09-01T13:56:55.212424+00:00
1259,2026-09-01T13:45:31.199478+00:00,2026-09-01,VZ,BREAKOUT,50.77,87.8,69.1,0.2,20.20785876645726,-2.646945469208125,PREFER-HIGH,2026-09-01T13:56:55.388869+00:00
1260,2026-09-01T13:48:26.197240+00:00,2026-09-01,DIS,BREAKOUT,108.1,67.7,59.0,0.1,28.708924838137236,-9.500162936754602,PREFER-HIGH,2026-09-01T13:56:55.543569+00:00
1261,2026-09-01T13:51:24.860777+00:00,2026-09-01,CVX,BREAKOUT,208.81,85.6,69.6,0.28,25.771973004514972,-2.3727182816268853,PREFER-HIGH,2026-09-01T13:56:55.679708+00:00
1262,2026-09-01T14:12:22.135616+00:00,2026-09-01,WFC,BREAKOUT,87.33,61.1,55.6,0.5,11.872902755134193,-10.374520244134294,PREFER-HIGH,2026-09-01T14:26:54.701780+00:00
1263,2026-09-01T14:36:19.718048+00:00,2026-09-01,HOOD,BREAKOUT,106.27,74.4,56.0,1.37,19.327245844272483,-31.254104064616556,PREFER-HIGH,2026-09-01T14:41:54.741915+00:00
1264,2026-09-01T15:06:21.675106+00:00,2026-09-01,COP,BREAKOUT,135.24,80.4,69.0,0.63,27.154796652077536,-1.7792230019600346,PREFER-HIGH,2026-09-01T15:11:56.285901+00:00
1265,2026-09-01T19:15:19.862521+00:00,2026-09-01,SMCI,BREAKOUT,37.02,59.0,56.5,0.35,25.214009145102377,-36.468986732420575,PREFER-HIGH,2026-09-01T19:26:53.850234+00:00
1266,2026-09-02T13:30:21.547547+00:00,2026-09-02,DE,BREAKOUT,676.08,109.6,66.2,1.68,20.050588815065638,0.0,PREFER-HIGH,2026-09-02T13:47:33.993786+00:00
1267,2026-09-02T13:30:38.962754+00:00,2026-09-02,XLV,BREAKOUT,172.44,64.3,59.6,0.01,28.190085363408727,-2.282556166903088,PREFER-HIGH,2026-09-02T13:47:34.081174+00:00
1268,2026-09-02T13:33:32.395625+00:00,2026-09-02,JPM,BREAKOUT,359.38,58.0,57.1,0.03,11.797496583889725,-2.801352942090809,PREFER-HIGH,2026-09-02T13:47:34.195565+00:00
